County,2018_Rep_Gov,2018_Rep_Sen,2018_Dem_Sen,2018_Dem_Gov,2018_Dem_Gov_Runoff,2016_Rep_Pres,2016_Dem_Pres,2014_Rep_Sen,2014_Rep_Gov,2014_Dem_Sen,2014_Dem_Gov,2014_Dem_Sen_Runoff,2012_Rep_Pres,2012_Rep_Sen,2012_Dem_Pres,2012_Dem_Sen,2012_Dem_Sen_Runoff,2010_Rep_Gov,2010_Dem_Gov,2008_Rep_Pres,2008_Rep_Sen,2008_Dem_Pres,2008_Dem_Sen,2006_Rep_Sen,2006_Rep_Gov,2006_Dem_Sen,2006_Dem_Gov,2006_Sen_Dem_Runoff,2004_Rep_Pres,2004_Dem_Pres,2002_Rep_Sen,2002_Rep_Gov,2002_Dem_Sen,2002_Dem_Gov,2002_Dem_Sen_Runoff,2000_Rep_Pres,2000_Rep_Sen,2000_Dem_Pres,2000_Dem_Sen,2000_Dem_Sen_Runoff,1998_Rep_Gov,1998_Dem_Gov,1996_Rep_Pres,1996_Rep_Sen,1996_Dem_Pres,1996_Dem_Sen,1996_Dem_Sen_Runoff,1994_Rep_Sen,1994_Rep_Gov,1994_Dem_Sen,1994_Dem_Gov,1994_Dem_Sen_Runoff,1992_Rep_Pres,1992_Dem_Pres
ALL COUNTIES,10.16,10.16,6.84,6.71,2.85,19.92,10.08,9.66,9.84,3.75,4.07,1.48,11.09,10.77,4.52,3.81,1.81,11.4,5.23,10.68,9.6,22.54,17.07,4.93,5.16,3.94,4,1.63,5.61,6.84,5.07,5.08,7.81,8.21,5.08,9.7,8.22,6.78,5.32,2.11,5.35,4.41,10.52,10.17,9.5,9.18,4.97,6.14,6.16,11.37,11.47,8.26,10,17.16
ANDERSON,22.87,22.66,3.12,3.18,0.97,31.62,4.9,21.4,21.76,2.38,2.6,0.57,17.96,17.54,2.19,2.06,0.63,17.07,4.42,15.68,13.98,19.79,15.86,6.97,7.38,7.9,8.01,7.82,12.23,8.19,3.8,3.99,16.64,16.7,7.36,13.94,12.66,12.11,10.07,2.14,2.97,16.62,7.91,7.64,20.99,23.26,5.19,3.31,3.39,26.44,26.36,23.64,3.1,39.44
ANDREWS,23.07,22.73,0.56,0.53,0.14,33.8,1.34,15.7,16.43,0.8,0.86,0.12,13.64,13.35,1.09,1.1,0.19,15.33,2.98,12.01,10.91,15.31,12.3,4.12,4.17,12.45,12.41,7.17,3.86,15.19,1.97,2.04,16.37,17.17,8.41,6.6,5.87,20.74,17.51,0.69,4.39,13.3,7.38,7.2,20.61,22.26,9.04,3.66,3.66,11.37,10.59,4.35,4.07,34.27
ANGELINA,15.58,15.82,3.44,3.35,0.82,27.22,5.31,16.79,17.31,1.8,1.89,0.5,22.41,21.06,2.74,2.54,0.6,10.78,6.7,10.59,9.26,26.73,20.49,5.62,5.9,6.74,6.91,0.61,6.5,10.32,2.2,2.23,16.7,17.2,4.37,6.92,6.15,15.79,13.31,6.46,2.44,8.43,8.32,8.09,17.54,18.22,6.83,2.2,2.22,25.05,25.07,15.32,4.98,29.57
ARANSAS,19.07,18.9,3.29,3.12,1.41,33.26,4.84,19.69,20.31,1.82,2.02,0.41,21.55,20.72,3.07,2.85,0.9,15.94,2.88,26.8,23.93,15.71,12.97,14.26,20.46,2,1.99,0.61,16.63,4.42,14.9,15.94,6.65,7.05,1.45,20.88,18.69,5.2,4.51,0.31,7.81,6.12,20.45,20.13,15.24,14.65,12.97,16.22,16.35,13.81,13.94,12.34,24.4,13.26
ARCHER,23.29,23.48,1.77,1.68,0.29,39.97,2.72,20.34,21.14,0.87,0.95,0.29,22.99,24.57,1.28,1.18,0.18,18.25,3.03,20.38,17.68,18.06,13.09,3.26,3.42,3.92,4.16,0.54,2.65,14.11,2.7,3.14,12.39,12.58,1.84,7.61,7.18,11.66,9.43,1.06,2.35,4.26,5.98,5.8,16.63,16.83,4.67,2.52,2.53,14.4,15.1,6.39,2.51,32.95
ARMSTRONG,43.8,43.59,0.71,0.64,0.07,56.04,0.36,40.03,41.6,0,0,0,25.09,24.24,0,0,0,36.53,0,37.39,30.41,0,0,12.84,12.05,0,0,0,28.79,3.17,13.66,15.33,6.54,6.54,1.53,35.67,31.76,4.45,3.44,0,9.2,10.09,35.5,34.07,5.8,5.65,2.65,8.15,8.15,13.83,14.87,8.37,5.29,38.5
ATASCOSA,12.44,12.35,4.2,4.18,1.08,18.01,7.56,8.28,8.42,3.73,3.88,1.23,11.15,10.79,4.38,3.83,0.62,9.21,7.75,7.55,6.99,23.63,19.88,2.58,2.84,7.57,7.97,0.68,2.2,11.41,2.85,2.97,17.88,18.69,5.25,4.97,4.51,8.71,7.02,0.33,2.3,6.48,6.13,6.04,11.56,12,4.26,3.79,3.81,19.12,18.69,15,3.44,23.52
AUSTIN,18.52,18.59,2.56,2.55,0.91,32.56,3.58,19.76,19.92,0.92,0.98,0.29,24.57,24.25,1.5,1.43,0.28,28.98,3.11,16.94,15.08,17.28,13.31,18.04,18.74,2.65,2.74,1.02,16.01,3.07,17.74,18.84,3.97,3.96,1.25,21.64,19.36,4.25,3.76,0.17,9.51,3.45,19.91,19.43,7.23,7.07,1.87,0.88,5.2,18.55,18.17,7.07,7.65,18.15
BAILEY,24.88,24.93,1.14,1.14,0.6,26.23,3.23,13.26,13.43,0.86,1.09,0.23,20.46,19.78,0.57,0.43,0.17,23.04,1.88,17.98,15.26,13.37,10.12,9.41,9.25,2.18,2.08,0.23,17.88,6.94,9.15,10.59,5.67,5.93,1.37,4.81,4.65,13.51,9.99,0.43,2.56,6.66,5.29,5.23,9.72,9.74,2.28,2.11,2.19,19.6,19.86,6.32,4.19,25.68
BANDERA,18.91,18.66,3.25,3.18,1.73,35.55,4.61,19.33,19.43,1.55,1.67,0.74,28.29,26.74,1.32,1.24,0.53,22.64,2.07,28.15,25.15,12.21,9.52,14.17,14.71,1.3,1.35,0.36,26.1,2.17,12.65,13.04,2.52,2.62,1.17,32.06,28.01,3.02,2.61,0.47,18.24,2.04,28.39,27.77,3.23,3.01,0.84,21.21,21.6,4.98,4.91,3.25,29.79,8.67
BASTROP,14.99,14.84,7.81,7.67,3.84,25.55,11.65,11.13,11.41,3.91,4.26,1.42,12.73,12.39,7.02,6.25,2.69,14.66,7.33,12.11,11.03,29.11,23.51,4.81,5.03,5.73,5.86,1.51,8.21,13.1,4.87,4.91,13.46,13.71,6.09,10.83,9.86,9.04,7.58,0.57,4.79,11.69,9.82,9.58,16.87,16.48,5.29,3.34,3.38,25.38,25.36,13.63,4.22,33.87
BAYLOR,19.63,19.16,1.28,1.32,0.13,32.35,3.11,21.77,22.97,1.12,1.28,0,8.76,8.28,2.89,2.89,0.52,10.94,8.37,4.75,3.7,32.72,21.57,0.5,0.5,17.04,16.65,0.04,1.2,14.64,0.92,0.92,31.54,33.47,1.73,5.17,4.37,9.5,7.47,0.59,1.82,12.22,1.31,1.27,33.87,33.94,42.15,1.33,1.29,32.02,33.72,39.31,0.98,49.57
BEE,9.36,9.33,4.57,4.5,0.69,20.05,10.02,8.67,8.9,6.97,7.85,0.75,11.25,11.07,8.02,6.9,2.11,11.66,6.27,5.81,5.45,28.05,22.5,4.88,5,10.84,10.58,0.61,4.67,21.31,5.05,5.07,14.34,15.64,13.18,7.54,6.99,10.74,8.47,3.67,5.39,8.95,8.24,8.09,14.86,13.89,9.9,7.24,7.29,21.65,22.11,12.51,6.29,22.24
BELL,9.84,9.73,3.91,3.81,1.75,18.34,6.17,8.32,8.43,1.56,1.63,0.46,11.04,10.61,1.59,1.45,0.43,9.86,2,12.21,11.13,16.53,12.55,5.81,6.14,1.52,1.54,0.3,5.96,2.32,4.87,4.96,2.63,2.72,1.74,12.4,9.82,2.85,2.12,0.3,5.79,1.93,11.29,9.35,5.17,4.4,1.51,4.96,4.94,8.19,8.22,5.26,9.47,10.96
BEXAR,6.38,6.4,7.67,7.69,3.18,13.57,11.72,6.87,6.82,4.32,4.55,1.74,7.43,7.28,4.63,3.81,2.38,7.49,4.73,7.98,6.92,23.38,18.93,2.07,2.22,3.77,3.78,0.63,2.5,5.68,4.18,3.95,6.82,7.27,2.54,7.84,7.03,5.4,4.32,1.29,4.24,3.74,9.66,9.4,5.55,5.16,1.68,5.29,5.29,5.78,6.04,4.41,10.46,11.36
BLANCO,22.39,22.73,6.71,6.58,4.37,39.72,6.83,22.95,23.43,2.12,2.32,0.7,27.1,26.03,1.3,1.14,0.68,26.18,4.15,16.06,14.63,21.11,15.5,9.2,9.6,1.51,1.54,0.37,14.58,5.51,14.52,15.68,3.64,3.83,2.08,28.34,23.24,2.53,2.16,0.3,6.61,2.22,17.24,16.85,5.14,5.03,2.04,14.36,14.23,6.34,6.06,3.37,9.9,10.48
BORDEN,53.29,53.7,0.41,0.41,0.21,70.29,1.13,47.2,48.99,0,0,0,26.24,26,12.06,12.29,2.36,21.71,30.26,0,0,32.18,24.31,5.44,4.54,14.51,14.51,2.27,1.26,35.08,3.66,3.66,27.31,28.82,20.65,4.59,3.76,38,30.9,33.19,6.08,17.57,10.49,9.15,14.96,18.53,6.47,2.68,2.89,53.4,49.9,16.29,2.61,42.34
BOSQUE,20.63,20.66,3.2,3.17,1.29,36.58,4.9,21.99,22.86,1.9,2.02,0.48,21.65,21.07,2.29,2.08,0.64,19.05,7.07,11.78,10.81,25.32,19.26,4.79,4.97,3.26,3.33,0.96,9.41,16.49,5.46,5.76,16.82,16.75,5.39,8.01,7.03,23.88,19.84,5.44,3.66,12.8,7.42,7.26,23.59,24.39,8.91,3.09,3.16,30.67,30.45,16.87,5.34,29.52
BOWIE,13.04,13.25,2.74,2.68,0.89,28.94,5.6,15.84,16.09,0.49,0.54,0.43,14.16,12.94,3.15,2.79,0.59,12.02,7.54,13.17,11.33,17.26,13.21,2.92,3.02,5.29,5.78,0.97,6.92,16.29,1.87,1.96,18.5,18.99,5.77,5.48,4.99,20.55,15.79,9.61,1.57,7.88,4.91,4.89,19.22,27.71,22.4,3.32,3.37,21.67,21.35,11.47,3,34.03
BRAZORIA,12.12,12.11,5.01,4.95,2.16,20.94,6.9,10.04,10.17,1.53,1.59,0.51,13.38,13.06,1.95,1.81,0.56,13.79,3.08,14.59,12.9,18.09,14.37,7.73,4.88,1.47,1.55,0.39,8.01,2.63,6.01,6.23,2.95,3.08,1.61,14,6.97,2.81,2.39,0.38,10.21,1.94,14.25,13.84,3.88,3.91,2.56,7,6.64,7.51,7.4,6.28,9.81,10.98
BRAZOS,11.72,11.76,4.88,4.68,1.46,26.79,7.61,11.61,11.89,1.96,2.15,0.87,15.26,14.66,1.37,1.24,0.57,19.16,2.62,15.77,14.2,16.54,11.63,8.7,9.49,1.43,1.47,0.4,10.53,2.51,11.06,11.46,3.77,3.84,2.11,15.79,14.06,2.56,2.23,0.4,12.92,2.3,15.95,15.57,4.51,4.71,2.03,8.88,9.11,6.6,6.66,3.54,12.95,10.05
BREWSTER,9.6,9.67,13.95,12.9,7.53,17.66,23.1,7.06,7.29,15.99,19.84,19.18,8.16,7.2,22.49,17.38,19.02,7,25.29,15.3,13.51,37.53,27.56,3.44,3.47,9.96,10.35,2.12,4.73,23.77,1.64,1.79,14.93,16.2,3.71,9.82,8.59,25.3,17.81,15.88,3.63,11.51,12.91,12.37,23.51,22.89,21.35,4.31,4.27,29.84,32.49,23.61,7.34,17.09
BRISCOE,40.93,41.68,2.62,2.43,1.03,42.15,2.6,29.66,29.92,1.24,1.77,0.79,33.95,32.11,2.01,2.01,0.61,20.2,5.47,21.97,18.68,21.97,16.2,19.55,19.87,7.79,7.95,0.87,7.19,5.8,8.29,9.07,28.23,30.02,13.84,8.11,7.34,17.47,13.21,1.93,3.9,16.27,4.81,5.19,35.19,35.57,40.61,0,0,32.12,33.75,21.38,1.57,45.4
BROOKS,0.12,0.12,33.09,32.33,13.62,0.9,33.51,0,0,23.17,24.57,26.82,0,0,30.95,25.56,3.8,0,42.32,0,0,49.88,44.24,0,0,34.09,33.14,32.32,0,38.95,0.06,0.05,43.55,46.8,35.61,0.08,0.08,40.4,33.75,16.49,0.09,33.67,0.28,0.3,46.69,43.62,42.28,0,0,43.87,45.18,18.71,0,52.58
BROWN,20.72,20.67,1.56,1.5,0.37,38.78,2.42,25.44,26.48,0.83,0.93,0.13,23.09,22.21,0.9,0.88,0.25,23.71,2.05,21.41,19.22,10.78,8.83,9.74,10.13,1.88,1.87,0.34,15.11,3.54,4.13,4.16,4.24,4.31,2.03,9.29,8.54,6.15,5.21,0.27,3.87,6.3,10.63,10.82,11.14,11.6,2.62,3.39,3.37,14.16,13.88,13.61,3.97,36.48
BURLESON,14.88,14.83,3.7,3.68,1.55,29.67,5.68,10.21,10.39,1.92,2.12,0.85,13.24,12.83,2.51,2.28,1.08,15.28,4.11,12.06,10.77,20.35,15.31,9.46,9.98,3.92,4.07,1.01,10.4,11.58,6.93,7.21,11.41,11.78,3.58,12.21,10.9,11.13,9.77,1.33,3.95,14.32,5.99,5.8,11.29,11.44,3.64,1.61,1.67,28.36,28.08,15.89,1.28,43.73
BURNET,16.61,16.56,3.62,3.57,2.02,36.53,5.3,22.23,22.3,1.7,1.83,0.66,23.49,22.78,1.73,1.63,0.71,23.27,3.34,22.99,21.13,17.26,13.7,13.97,14.89,2.43,2.51,0.68,16.05,5.62,12.38,12.41,6.61,6.75,2.25,17.17,15.46,6.44,5.53,0.34,7.88,5.16,11.86,11.66,21.81,21.88,4.86,6.22,6.21,23.11,22.99,12.83,8.52,33.64
CALDWELL,10.24,10.01,7.4,7.27,2.92,18.8,10.98,5.94,6.06,8.41,10.06,4.87,9.26,9.01,6.6,5.7,1.91,9.91,12.07,8.36,7.5,25.55,20.82,3.71,4.48,7.57,7.77,1.02,5.65,12.63,6.2,6.37,10.1,10.37,7.16,6.31,5.74,13.41,11.09,9.8,3.61,9.06,6.44,6.4,12.39,12.03,4.14,3.01,2.98,13.09,12.66,11.29,3.97,25.48
CALHOUN,16.12,16.25,4.8,4.79,1.8,20.8,8.45,8.02,7.99,11.58,13.19,6.21,7.87,7.71,15.38,14.01,2.49,8.09,16.51,6.4,5.68,29.01,24.32,3.2,3.35,13.94,13.55,13.6,1.92,14.75,2.36,2.54,16.3,16.67,2.86,5.1,4.59,12.94,11.3,0.7,2.89,17.67,6.67,6.54,20.37,19.65,8.43,2.5,2.57,34.65,34.94,25.44,3.78,23.01
CALLAHAN,22.73,22.91,1.02,0.96,0.38,38.5,2.23,18.46,18.88,0,0,0,24.72,23.48,0,0,0,17.18,2.16,14.63,12.75,15.98,11.89,6.08,6.58,1.98,1.9,0.23,5.73,2.78,2.89,2.92,9.84,10.61,4.36,7.74,6.98,10.47,8.26,0.28,2.32,12.84,5.74,5.61,16.35,16.88,2.02,1.1,1.09,30.13,29.2,17.95,2.4,41.64
CAMERON,2,1.99,7.03,6.81,5.77,6.78,16.01,2.13,2.14,7.99,8.67,5.31,3.05,2.9,12.39,10.29,7.7,2.69,9.08,2.88,2.59,28.95,23.7,1.2,1.29,8.49,8.58,3.52,1.6,14.74,1.61,1.67,14.22,15.79,8.4,4.31,3.91,13.89,10.76,8.21,2.35,10.37,4.3,4.23,15.66,13.66,11.97,3.27,3.23,17.72,17.51,8.13,4.25,20.96
CAMP,14.27,14.55,4.56,4.35,1.38,25.99,8.74,13.6,13.92,2.57,2.72,0.76,10.65,10.32,6.15,5.78,1.25,14.69,8.31,10.32,9.31,26.22,19.67,2.89,3.04,5.96,6.53,1.36,1.36,18.01,2.69,2.83,24.2,24.77,7.95,4.31,3.93,27.82,20.66,1.23,2.48,8.96,6.32,6.22,25.13,28.79,15.92,4.29,4.63,19.41,19.66,15.8,0,37.5
CARSON,26.02,26.52,1.59,1.45,0.31,36.37,1.89,23.43,24.1,1.1,1.19,0.19,25.86,25.35,1.43,1.34,0.28,24.32,2.48,21.5,19.21,12.6,9.55,16.93,17.04,3.48,3.5,0.77,12.59,4.74,8.09,8.12,6.4,6.38,2.06,14.82,13.56,4.8,4.18,1.02,14.28,6.31,11.77,11.12,10.71,10.81,3.14,6.37,6.47,23.07,23.82,23.92,9.73,27.1
CASS,18.83,19.03,2.64,2.6,0.9,28.14,5.53,17.45,18.1,3.09,3.42,0.65,13,11.27,7.8,7.45,1.68,7.57,14.72,8.38,6.72,31.15,22.52,1.39,1.46,12.82,13.38,1.85,2.52,15.67,1.11,1.17,26.89,27.78,13.88,2.63,2.44,25.59,20.18,5.9,1.28,11.23,3.2,3.14,27.67,32.58,24.8,1.63,1.63,23.62,22.69,15.13,2.6,31.4
CASTRO,16.1,16.07,3.32,3.27,0.5,26.65,4.43,15.77,16.34,1.89,2.06,0.33,18.64,18.72,2.67,2.4,0,12.35,6.06,9.13,7.67,21.4,15.8,8.82,8.73,7.22,6.31,0.42,4.62,9.29,2.66,2.91,8.11,8.13,1.09,4.11,3.8,23.26,17.66,12.34,3.86,15.14,7.03,6.92,11.26,11.61,2.16,6.53,6.66,20.9,21.37,17.11,4.02,35.76
CHAMBERS,19.21,19.28,2.52,2.49,0.58,27.59,3.96,16.05,16.04,1.2,1.22,0.22,21.67,20.87,1.63,1.39,0.49,20.22,3.56,15.83,13.39,15.87,11.13,11.41,11.96,4.6,4.79,0.42,10.03,5.17,2.8,2.89,13.56,13.76,2.2,9.84,8.83,14.25,12.39,11.15,3.06,12.76,5.18,5,18.51,18.11,10.47,2.26,2.3,20.33,20.19,12.27,2.53,31.61
CHEROKEE,21.67,21.64,2.8,2.75,1.02,32.13,5.01,19.16,19.7,1.54,1.64,0.62,21.37,20.57,1.99,1.88,0.72,20.01,3.2,14.57,13.1,19,14.53,9.12,9.66,4.67,4.64,0.49,2.86,9.1,2.54,2.55,12.9,13.17,10.32,7.79,7.08,18.36,15.46,6.17,4.07,8.47,6.24,6.2,15.24,16.84,5.23,2.48,2.63,22.66,22.29,12.49,2.92,35.54
CHILDRESS,26.79,26.39,1.71,1.71,0.11,27.68,2.59,22.87,23.87,1.29,1.35,0.23,19.23,17.18,0.57,0.6,0.43,18.75,2.35,10.06,8.57,18.66,12.56,3.29,3.23,5.15,4.9,0.33,1.93,4.94,1.88,2.09,13.63,14.3,6.42,7.18,6.78,8.04,6.41,0.8,0.9,16.1,3.1,3.07,24.33,24.35,1.4,2.54,2.48,17.69,17.28,6.11,2.93,40.22
CLAY,27.1,26.93,1.58,1.59,0.69,39.24,2.58,18.77,19.73,1.13,1.21,0.14,23.76,21.56,3.7,3.29,0.39,13.9,5.26,14.43,12.26,26.59,18.88,2.46,2.58,6.42,6.54,0.76,2.4,20.72,3.3,3.7,11.15,11.78,3.68,4.86,4.45,22.04,17.37,13.73,1.96,4.49,3.49,3.28,15.75,16.2,3.74,1.34,1.32,25.77,25.86,20.89,1.44,46.07
COCHRAN,24.3,24.94,0.93,0.93,0.41,43.02,0.46,35.22,36.14,0,0,0,35.16,34.83,0,0,0,29.63,0,14.25,12.32,16.68,12.73,6.18,6.03,6.48,6.83,0.8,2.84,7.58,4.07,4.44,14.19,15.49,3.65,6.96,6.78,9.46,7,2.01,2.93,16.67,3.77,3.6,28.08,28.72,29.23,2.2,2.16,36.91,37.35,33.61,2.98,45.55
COKE,27.18,27.31,1.27,1.36,0.09,40.65,2.48,22.98,24.35,0.95,1.13,0.33,23.43,21.46,1.71,1.63,0.21,13.13,11.4,5.43,4.53,30.94,20.37,8.51,8.59,9.66,9.7,1.19,2.38,23.43,2.34,2.88,27.44,30.83,1.79,5.47,4.98,11.06,8.35,1.34,1.11,21.54,3.12,2.95,31.52,30.92,4.92,1.18,1.27,26.93,26.11,11.72,0,34.07
COLEMAN,27.28,27.2,1.34,1.27,0.39,39.79,2.14,24.49,25.63,1.09,1.17,0.25,12.45,12.27,0.76,0.73,0.45,21.17,2.29,28.55,23.94,11.31,8.5,2.75,2.84,9.12,9.09,0.99,4.35,6.49,1.12,1.09,17.3,17.99,16.64,4.37,4.05,14.22,11.09,0.52,1.97,10,4.52,4.42,20.05,21.75,11.99,3.61,3.63,31.29,31.91,29,2.52,38.33
COLLIN,11.92,11.98,6.29,6.12,2.44,23.33,8.01,9.38,9.63,1.82,2.03,0.5,11.17,10.79,1.28,1.13,0.42,13.76,1.47,13.43,11.15,18.89,10.94,4.15,4.24,0.59,0.58,0.26,4.93,1.96,5.28,5.69,2.03,2.01,2.01,11.58,10.57,1.35,1.06,0.09,4.75,0.47,12.98,12.68,1.42,1.4,0.64,7.47,7.56,1.96,1.92,2.03,19.49,5.9
COLLINGSWORTH,25.22,25.91,0.74,0.69,0.26,30.91,3.31,13.06,13.7,0,0,0,13.91,12.67,4.91,4.69,0.65,14.97,5.54,9.75,7.83,27.78,19.19,4.79,4.4,7.05,7.1,0.57,4.54,22.23,2.49,2.95,26.38,28.92,1.73,2.95,2.69,32.65,24.67,1.3,1.51,21.84,2.3,2,33.3,34.35,4.04,2.16,2.16,42.16,44.19,9.98,0,52.05
COLORADO,22.11,21.85,3.17,3.12,1.48,28.11,4.74,17.58,17.96,1.73,1.78,0.47,22.98,22.41,1.87,1.74,0.67,23.68,4.01,14.09,12.51,22.39,17.17,11.83,12.57,3.66,4.68,0.4,5.69,6.9,3.36,3.34,7.36,7.37,2.93,8.12,7.48,17.18,14.28,1.34,4.59,11.79,8.22,8.04,26.22,25.8,5.11,2.35,2.37,36.05,35.28,10.14,3.5,37.52
COMAL,18.6,18.52,4.35,4.25,2.01,33.49,6.04,18.04,18.22,1.95,2.08,0.85,18.6,18.3,1.5,1.34,0.41,21.12,2.17,21.96,19.92,14.61,10.42,13.75,14.13,1.13,1.13,0.17,9.31,3.78,14.83,15.1,2.94,3.01,1.01,17.75,16.01,2.93,2.39,0.21,14.68,1.79,23.04,22.43,2.6,2.55,0.77,18.98,19.31,4.69,4.73,3.64,22.2,8.13
COMANCHE,26,25.85,1.89,1.8,0.66,33.7,4.04,20.31,20.28,1.97,2.13,0.55,21.56,20.64,1.85,1.79,0.61,14.74,9.97,9.81,8.82,22.27,17.46,2.47,2.65,12.55,12.97,3.79,3.67,13.08,1.78,1.81,20.71,20.87,15.4,4.04,3.61,24.9,19.38,18.9,5.32,11.94,5.54,5.4,21.2,21.48,3.85,2.21,2.27,29.36,29.07,9.81,0,46.9
